antecedent_name,consequent_name,support,confidence,lift,support_count,rule_id,ranking_score
RoastGo Line 7,RoastGo Line 1,0.0815,0.6245210727969349,1.4781563853181892,163,eb1e154e2e3885f2,0.07523589463892524
Northstar Cola Line 5,ClearSpring Line 2,0.096,0.5065963060686016,1.5190294035040528,192,2c6f8b671a8e0575,0.07387532972397547
Volt Line 5,Leafline Line 2,0.0905,0.4469135802469135,1.4581193482770425,181,24f966630eac12d7,0.058974627122103926
Volt Line 5,RoastGo Line 2,0.0885,0.437037037037037,1.4352612053761478,177,d34bf02e1260de6e,0.0555127139546041
Volt Line 5,Volt Line 3,0.0855,0.4222222222222222,1.460976547481738,171,915980fdff5a0a5b,0.05274125336409074
RoastGo Line 6,Northstar Cola Line 3,0.072,0.4528301886792452,1.5944724953494551,144,64d820ae5873089a,0.051985820225733156
Volt Line 8,RoastGo Line 2,0.068,0.4657534246575343,1.5295678970690785,136,7fa4524332dc589f,0.048443301068817946
Orchard Line 5,Northstar Cola Line 3,0.0755,0.4253521126760563,1.4977187066058322,151,5b1e228df20bae20,0.04809786511171771
Orchard Line 4,Orchard Line 3,0.085,0.3811659192825112,1.4302661136304362,170,dcefbace0e49f43b,0.046339339331748435
RoastGo Line 4,Northstar Cola Line 3,0.0785,0.4088541666666667,1.4396273474178405,157,feac3feebd09d36b,0.046204914695966603
Orchard Line 7,Leafline Line 2,0.069,0.4524590163934426,1.476212125264087,138,68b4fdbaa17cf4f4,0.0460868585467693
Leafline Line 6,Volt Line 3,0.0675,0.4326923076923077,1.4972052169284005,135,e9e197087892d6cb,0.04372846967711555
Northstar Cola Line 7,Northstar Cola Line 3,0.0685,0.4241486068111455,1.4934810098984,137,4ebe5296efbb598d,0.043391865440840664
Leafline Line 6,Leafline Line 2,0.0685,0.4391025641025641,1.4326347931568162,137,2bd556ae71dc2b4d,0.04309154236019277
RoastGo Line 5,ClearSpring Line 3,0.0725,0.3994490358126721,1.479440873380267,145,1ae02bfe83c84844,0.04284468920498637
